aX,aY,aZ,gX,gY,gZ
-2.107,-0.714,0.016,5.127,-40.894,106.262
-2.099,-0.690,0.050,8.789,-48.035,104.065
-2.044,-0.677,0.067,12.146,-54.626,95.032
-1.922,-0.690,0.039,14.404,-60.181,78.308
-1.786,-0.683,0.042,17.883,-66.101,60.425
-1.666,-0.605,0.043,23.682,-68.298,44.800
-1.524,-0.506,0.043,28.076,-66.589,29.358
-1.297,-0.367,0.140,26.611,-63.171,11.230
-1.160,-0.146,0.180,15.259,-61.157,-5.920
-0.985,-0.062,0.196,3.052,-66.956,-25.085
-0.776,-0.099,0.195,-2.625,-74.463,-45.044
-0.622,-0.108,0.171,-4.333,-76.721,-57.739
-0.474,-0.074,0.139,-1.648,-73.364,-66.345
-0.308,-0.002,0.135,5.798,-64.636,-75.256
-0.170,0.131,0.154,14.648,-50.110,-84.778
-0.076,0.268,0.172,17.151,-32.227,-98.022
0.069,0.350,0.174,9.888,-14.282,-120.483
0.279,0.416,0.198,-1.709,0.916,-145.264
0.404,0.584,0.240,-10.437,11.658,-156.494
0.351,0.770,0.271,-11.719,12.939,-145.874
0.249,0.801,0.294,-1.160,9.399,-116.882
0.185,0.775,0.294,15.503,8.789,-75.867
0.088,0.749,0.269,31.006,8.972,-30.701
-0.013,0.688,0.234,43.335,10.315,4.761
-0.086,0.577,0.198,50.171,13.489,25.085
-0.174,0.469,0.164,51.514,17.517,34.241
-0.258,0.359,0.142,51.697,22.217,37.476
-0.353,0.269,0.138,52.368,27.588,40.161
-0.451,0.197,0.149,51.758,31.921,43.518
-0.539,0.128,0.162,48.340,33.386,46.265
-0.641,0.050,0.167,42.542,30.640,47.913
-0.756,-0.048,0.171,35.461,23.804,48.340
-0.854,-0.139,0.171,27.283,14.893,45.349
-0.920,-0.212,0.136,19.348,5.859,38.696
-0.945,-0.277,0.095,12.512,-2.258,29.541
-0.934,-0.286,0.038,6.531,-8.911,18.372
-0.906,-0.258,-0.018,3.540,-13.489,5.798
-0.872,-0.217,-0.066,2.258,-14.648,-5.249
-0.842,-0.178,-0.094,0.549,-12.756,-13.916
-0.840,-0.145,-0.103,-1.831,-9.216,-20.386
-0.822,-0.126,-0.101,-3.601,-4.944,-25.330
-0.811,-0.113,-0.102,-3.906,-0.488,-26.489
-0.840,-0.112,-0.100,-1.709,2.258,-23.132
-0.875,-0.091,-0.089,2.808,4.944,-17.090
-0.905,-0.053,-0.075,6.165,7.141,-11.169
-0.934,-0.024,-0.066,6.958,7.874,-7.385
-0.959,-0.023,-0.050,6.226,7.690,-5.676
-0.971,-0.018,-0.045,5.493,7.446,-5.554
-0.980,-0.012,-0.047,4.761,6.592,-5.310
-0.989,-0.017,-0.040,4.456,6.531,-4.456
-1.009,-0.004,-0.037,3.052,6.470,-4.456
-1.027,0.006,-0.037,1.404,6.042,-5.737
-1.022,0.004,-0.035,0.122,6.287,-7.812
-1.019,0.003,-0.043,-0.427,6.775,-8.667
-1.029,0.008,-0.049,0.244,7.385,-8.057
-1.034,0.014,-0.049,1.709,8.484,-6.897
-1.025,0.016,-0.049,3.113,9.705,-5.310
-1.014,0.017,-0.044,4.456,11.047,-3.784
-1.018,0.012,-0.036,5.432,12.451,-1.160
-1.024,0.005,-0.028,6.042,13.672,1.282
-1.030,0.007,-0.027,6.470,14.587,2.625
-1.032,0.007,-0.024,6.348,15.137,3.174
-1.035,0.001,-0.020,5.615,15.442,3.723
-1.046,-0.020,-0.015,4.761,15.137,4.883
-1.061,-0.054,-0.004,5.127,14.160,6.104
-1.077,-0.070,0.011,6.836,12.573,7.324
-1.084,-0.053,0.028,8.545,10.437,7.874
-1.078,-0.018,0.028,8.484,8.057,8.118
-1.057,-0.012,0.026,7.141,5.798,7.446
-1.046,-0.016,0.016,4.822,4.089,5.371
-1.044,-0.026,0.004,1.770,2.380,2.075
-1.026,-0.036,-0.005,0.000,1.892,-0.122
-1.030,-0.038,-0.003,-0.427,2.502,-0.427
-1.032,-0.036,-0.002,-0.366,2.502,-0.793
-1.021,-0.028,-0.005,-0.305,2.258,-1.526
-1.010,-0.025,-0.003,-0.977,2.319,-1.709
-1.007,-0.024,-0.005,-1.953,2.441,-1.831
-1.005,-0.035,-0.009,-2.014,2.014,-0.977
-1.000,-0.041,-0.012,-0.427,2.197,1.770
-1.000,-0.032,-0.011,1.587,3.113,5.066
-1.008,-0.025,-0.004,2.930,3.906,6.531
-1.015,-0.020,-0.004,2.258,4.395,5.188
-1.016,-0.029,-0.003,0.183,4.089,2.563
-1.019,-0.047,-0.008,-1.587,4.150,1.099
