aX,aY,aZ,gX,gY,gZ
-1.615,0.019,2.245,62.439,138.062,-27.527
-1.882,0.048,2.302,40.222,127.014,-65.796
-2.088,-0.010,2.280,15.869,111.816,-106.812
-2.233,-0.094,2.174,1.343,90.759,-137.939
-2.271,-0.099,2.015,1.343,64.026,-151.733
-2.208,-0.006,1.835,11.963,35.156,-148.254
-2.118,0.129,1.661,25.940,7.446,-133.301
-2.032,0.262,1.485,36.499,-14.648,-111.816
-1.960,0.320,1.313,40.894,-31.494,-89.844
-1.876,0.287,1.160,40.527,-43.457,-73.425
-1.853,0.216,1.038,39.124,-51.697,-60.974
-1.888,0.141,0.964,39.856,-58.105,-50.415
-1.889,0.141,0.934,43.579,-60.791,-43.274
-1.879,0.187,0.923,45.288,-63.232,-41.321
-1.858,0.269,0.928,44.495,-65.735,-44.617
-1.823,0.364,0.943,40.283,-70.862,-49.927
-1.774,0.368,0.958,34.241,-80.627,-51.086
-1.696,0.340,0.951,28.259,-91.980,-44.250
-1.628,0.307,0.936,24.292,-103.394,-31.128
-1.542,0.290,0.926,21.606,-114.075,-18.127
-1.468,0.275,0.913,18.799,-123.596,-8.362
-1.396,0.262,0.893,14.526,-131.165,-3.113
-1.309,0.237,0.850,9.094,-136.108,0.366
-1.230,0.160,0.812,4.517,-140.381,4.028
-1.164,0.104,0.770,3.723,-143.921,8.423
-1.109,0.070,0.743,6.836,-145.935,12.756
-1.035,0.082,0.708,8.667,-145.874,17.578
-0.963,0.082,0.690,10.071,-144.470,21.790
-0.909,0.067,0.684,10.132,-142.944,25.146
-0.827,0.083,0.671,8.118,-140.991,28.687
-0.762,0.067,0.654,5.737,-139.832,30.212
-0.684,0.064,0.635,2.686,-137.573,29.114
-0.618,0.057,0.616,0.244,-133.423,28.198
-0.568,0.039,0.611,-0.977,-129.639,27.222
-0.505,0.042,0.613,-1.892,-124.939,26.306
-0.456,0.037,0.619,-2.502,-120.117,24.902
-0.396,0.016,0.634,-4.150,-115.723,22.400
-0.357,0.013,0.615,-7.446,-111.694,19.836
-0.282,0.005,0.601,-9.460,-105.957,16.541
-0.213,0.022,0.577,-10.986,-98.755,12.695
-0.154,0.020,0.549,-13.916,-92.285,9.277
-0.090,-0.003,0.512,-18.311,-85.876,6.287
-0.029,-0.040,0.474,-22.339,-79.224,2.441
0.016,-0.067,0.440,-24.353,-71.472,-1.831
0.052,-0.060,0.407,-25.024,-62.500,-6.714
0.090,-0.032,0.391,-26.917,-52.856,-12.695
0.104,0.004,0.376,-30.396,-42.725,-21.545
0.129,0.009,0.379,-35.828,-31.982,-31.189
0.140,-0.034,0.384,-42.175,-20.874,-40.161
0.133,-0.089,0.387,-47.729,-9.949,-47.974
0.114,-0.118,0.384,-52.246,-0.671,-54.199
0.115,-0.120,0.367,-56.274,9.521,-59.387
0.093,-0.122,0.349,-60.303,19.653,-67.871
0.088,-0.112,0.320,-65.979,29.236,-77.454
0.099,-0.104,0.288,-70.251,38.574,-86.853
0.118,-0.080,0.257,-71.533,46.509,-93.994
0.166,-0.035,0.240,-69.824,54.077,-96.191
0.231,0.040,0.224,-67.444,62.744,-92.651
0.288,0.126,0.216,-67.139,73.364,-86.609
0.331,0.218,0.239,-70.251,86.792,-82.458
0.361,0.292,0.275,-76.660,103.210,-81.848
0.406,0.350,0.310,-84.351,120.544,-84.900
0.399,0.394,0.334,-90.027,138.184,-89.600
0.408,0.470,0.373,-93.567,154.968,-92.102
0.391,0.506,0.448,-92.712,167.969,-84.412
0.330,0.486,0.583,-87.830,175.537,-59.082
0.185,0.434,0.753,-79.956,177.917,-19.592
-0.033,0.307,0.909,-72.510,175.415,22.705
-0.215,0.173,1.038,-68.054,172.607,55.908
-0.417,0.020,1.138,-68.176,169.678,78.186
-0.655,-0.153,1.212,-69.458,167.664,93.750
-0.935,-0.347,1.307,-66.711,166.077,105.469
-1.252,-0.515,1.403,-60.852,162.842,113.892
-1.523,-0.581,1.469,-55.542,159.363,116.333
-1.756,-0.679,1.531,-45.654,152.832,108.643
-1.951,-0.702,1.551,-37.354,142.212,96.008
-2.107,-0.729,1.556,-31.616,129.150,81.970
-2.224,-0.751,1.557,-24.963,115.051,64.758
-2.276,-0.714,1.552,-18.799,100.159,44.556
-2.256,-0.614,1.536,-14.465,84.534,24.719
-2.171,-0.505,1.478,-14.526,67.444,7.507
-2.019,-0.395,1.397,-16.296,50.415,-6.775
-1.914,-0.323,1.312,-14.832,35.400,-19.165
-1.778,-0.212,1.241,-14.038,23.621,-27.893
-1.614,-0.120,1.155,-16.052,15.381,-27.588
-1.514,-0.112,1.080,-15.686,6.897,-19.348
-1.432,-0.161,1.022,-13.489,-1.404,-5.859
-1.354,-0.213,0.972,-8.484,-8.606,9.277
-1.260,-0.208,0.915,-3.113,-14.404,22.949
-1.157,-0.231,0.872,0.183,-19.775,31.128
-1.047,-0.225,0.814,0.671,-24.597,34.119
