aX,aY,aZ,gX,gY,gZ
0.212,0.001,0.976,17.151,-32.349,-6.775
0.224,-0.012,0.889,12.878,-28.687,-2.075
0.226,-0.051,0.816,7.996,-22.461,1.770
0.216,-0.086,0.787,3.967,-13.977,3.479
0.209,-0.103,0.795,0.366,-4.517,4.028
0.209,-0.107,0.828,-2.136,3.174,4.211
0.200,-0.105,0.875,-3.235,8.301,4.333
0.194,-0.112,0.936,-2.563,10.803,5.371
0.201,-0.133,1.000,-1.892,11.536,6.042
0.223,-0.138,1.034,-2.991,10.681,5.920
0.228,-0.127,1.041,-4.700,7.935,5.798
0.752,-0.091,1.928,-31.128,-37.292,2.380
0.912,-0.007,1.985,-25.513,-55.054,8.545
1.108,-0.030,2.066,-4.822,-77.026,23.193
1.389,-0.036,2.057,15.869,-105.225,35.645
1.725,-0.069,1.988,30.334,-140.259,45.654
2.036,-0.036,1.726,39.001,-178.101,52.429
2.209,0.004,1.381,52.490,-212.463,59.814
2.179,-0.043,1.083,80.139,-238.281,66.956
2.151,-0.104,0.900,114.380,-253.052,67.017
2.104,-0.173,0.772,140.747,-258.118,60.059
1.924,-0.322,0.841,153.015,-258.362,52.124
1.776,-0.311,0.875,134.338,-253.174,43.396
1.739,-0.207,0.794,97.290,-249.207,40.222
1.462,-0.227,0.816,64.148,-247.375,46.387
1.262,-0.187,0.802,38.208,-245.117,51.331
0.951,-0.230,0.805,24.658,-248.596,53.162
0.629,-0.182,0.732,25.818,-259.644,45.227
0.439,-0.073,0.654,41.504,-272.766,31.433
0.297,-0.025,0.547,63.965,-282.654,21.912
-0.008,-0.116,0.400,80.627,-286.865,20.752
-0.273,-0.208,0.302,91.003,-286.255,15.625
-0.444,-0.202,0.138,92.041,-283.203,4.395
-0.625,-0.242,0.007,93.445,-281.616,-2.380
-0.816,-0.306,-0.149,95.398,-278.687,-4.333
-1.099,-0.323,-0.412,97.961,-278.442,-6.958
-1.465,-0.317,-0.740,104.919,-282.776,-14.465
-1.836,-0.274,-1.140,113.464,-282.227,-25.635
-2.255,-0.229,-1.647,122.803,-279.602,-33.997
-2.669,-0.133,-2.283,140.320,-278.748,-39.978
-2.887,0.042,-3.040,175.964,-273.804,-52.307
-2.846,0.232,-3.631,235.596,-256.897,-68.542
-2.681,0.231,-3.669,303.223,-219.666,-80.872
-2.453,0.063,-3.088,332.275,-147.156,-86.975
-2.207,-0.010,-2.219,280.396,-44.556,-83.557
-1.886,0.102,-1.443,157.227,50.964,-63.965
-1.795,0.068,-0.866,15.747,107.056,-24.780
-1.658,-0.007,-0.518,-105.164,135.010,16.052
-1.468,-0.040,-0.295,-187.317,149.475,48.584
-1.321,-0.122,-0.094,-225.098,154.175,68.787
-1.222,-0.200,0.042,-232.117,150.269,75.562
-1.194,-0.243,0.075,-223.145,135.925,71.411
-1.198,-0.304,0.054,-203.186,118.042,60.120
-1.211,-0.390,0.005,-177.673,103.882,45.715
-1.207,-0.446,-0.031,-152.100,98.694,30.090
-1.186,-0.467,-0.038,-128.845,103.149,13.794
-1.168,-0.469,-0.003,-109.131,114.319,-0.854
-1.132,-0.457,0.059,-92.651,128.662,-13.000
-1.077,-0.407,0.122,-78.247,142.761,-23.865
-1.030,-0.366,0.188,-63.721,153.198,-31.067
-0.974,-0.357,0.266,-48.828,159.302,-34.302
-0.880,-0.360,0.312,-37.048,159.729,-36.194
-0.756,-0.358,0.301,-31.555,153.442,-41.199
-0.589,-0.343,0.333,-35.461,145.447,-49.866
-0.485,-0.373,0.395,-54.382,142.639,-58.411
-0.266,-0.090,0.254,-91.553,149.902,-64.453
-0.179,0.059,0.167,-119.507,163.452,-59.387
-0.148,0.035,0.356,-124.023,188.660,-43.213
-0.172,-0.071,0.567,-124.084,218.079,-31.067
-0.045,-0.083,0.734,-121.033,237.488,-32.349
0.061,-0.021,0.769,-108.582,233.643,-32.043
0.084,-0.064,0.716,-79.468,209.900,-31.982
0.048,-0.168,0.656,-43.640,182.007,-40.039
0.167,-0.168,0.684,-20.630,167.358,-57.678
0.442,0.025,0.787,-23.437,165.771,-74.341
0.753,0.354,0.713,-50.293,166.504,-75.439
0.698,0.477,0.656,-72.083,169.922,-54.993
0.587,0.411,0.698,-74.707,185.486,-29.419
0.563,0.319,0.740,-61.951,204.041,-8.850
0.542,0.146,0.752,-35.583,209.412,5.676
0.571,-0.085,0.722,-3.723,199.158,7.935
0.673,-0.261,0.605,25.269,180.725,-4.333
0.857,-0.328,0.473,49.072,163.879,-23.926
1.042,-0.335,0.391,69.275,156.799,-42.969
1.176,-0.319,0.379,85.022,161.316,-54.016
1.217,-0.282,0.468,95.093,174.622,-53.650
1.241,-0.293,0.668,94.788,195.557,-42.236
1.274,-0.317,0.902,79.529,214.844,-28.870
1.238,-0.318,1.156,50.903,225.586,-19.104
1.154,-0.264,1.386,14.893,231.018,-11.841
1.088,-0.253,1.679,-20.691,233.398,-4.700
0.910,-0.205,1.909,-52.673,230.652,0.061
0.707,-0.114,2.156,-77.148,237.122,5.737
0.573,0.102,2.443,-88.013,243.164,10.925
0.512,0.344,2.723,-80.750,238.586,9.644
0.432,0.408,2.753,-53.894,209.900,11.719
0.381,0.157,2.657,-6.958,140.808,26.184
0.350,-0.227,2.259,39.795,36.133,36.011
0.293,-0.479,1.736,63.721,-50.903,30.090
0.458,-0.552,1.252,66.772,-103.760,8.179
0.551,-0.456,0.881,64.880,-128.784,-18.616
0.473,-0.317,0.657,65.552,-133.240,-39.795
0.327,-0.155,0.555,65.857,-118.469,-50.415
0.217,0.005,0.510,62.561,-87.280,-47.302
0.198,0.106,0.571,53.162,-48.218,-36.255
0.306,0.095,0.769,36.194,-11.902,-21.912
0.236,0.102,0.831,10.376,1.465,-8.179
0.232,0.067,0.895,-14.404,20.142,5.798
0.261,0.050,0.966,-33.020,36.621,20.386
0.245,-0.056,1.071,-41.748,47.546,32.043
0.246,-0.142,1.141,-44.250,49.805,37.170
0.285,-0.224,1.172,-41.809,45.532,36.743
0.283,-0.290,1.181,-33.081,33.630,31.494
0.276,-0.323,1.186,-20.691,18.982,21.118
0.268,-0.304,1.182,-8.179,4.456,7.385
0.250,-0.246,1.164,2.625,-6.775,-4.211
0.235,-0.168,1.137,12.512,-14.771,-11.841
0.245,-0.082,1.083,20.447,-20.935,-15.076
0.238,-0.044,1.020,27.161,-25.879,-13.855
0.231,-0.040,0.951,30.396,-27.527,-9.705
0.240,-0.039,0.885,29.297,-24.536,-5.249
0.241,-0.058,0.848,25.452,-19.470,-1.526
0.242,-0.079,0.827,19.470,-13.550,2.075
0.240,-0.106,0.817,11.780,-7.446,4.700
0.228,-0.118,0.824,4.456,-2.197,6.714
0.225,-0.136,0.866,-0.732,2.930,7.996
0.229,-0.153,0.930,-3.113,7.385,8.484
0.230,-0.169,0.992,-4.761,9.583,8.362
0.231,-0.171,1.022,-6.409,8.667,7.141
0.224,-0.164,1.032,-6.836,4.822,5.920
0.783,-0.256,1.686,-43.457,-88.684,-17.090
0.962,-0.193,1.702,-51.208,-104.736,-10.376
1.104,-0.133,1.690,-51.453,-122.925,2.563
1.276,-0.146,1.694,-41.931,-144.653,17.700
1.482,-0.109,1.628,-31.677,-167.603,27.710
1.607,-0.066,1.559,-20.020,-190.369,37.537
1.749,-0.007,1.444,-5.859,-213.013,49.683
1.801,-0.101,1.309,11.353,-233.643,64.026
1.770,-0.246,1.260,26.917,-248.108,71.533
1.822,-0.178,1.176,28.992,-254.395,67.322
1.819,-0.062,1.102,28.992,-258.972,64.819
1.686,-0.034,1.045,36.682,-267.212,69.702
1.464,-0.072,1.024,44.556,-274.902,76.050
1.362,-0.073,0.997,45.044,-275.146,76.111
1.309,-0.032,0.952,40.833,-272.827,72.754
1.042,0.038,0.792,39.551,-272.400,73.242
0.767,-0.076,0.768,53.040,-270.569,76.233
0.742,-0.173,0.890,69.458,-265.198,69.763
0.632,-0.069,0.767,70.251,-266.602,59.448
0.342,-0.039,0.602,73.059,-279.846,53.223
0.156,-0.072,0.532,87.036,-290.771,44.189
0.042,0.059,0.345,95.032,-295.654,33.997
-0.074,0.084,0.182,103.210,-301.453,30.151
-0.249,-0.041,-0.004,107.849,-303.833,30.640
-0.522,-0.139,-0.263,103.516,-303.162,31.067
-0.898,-0.282,-0.651,100.159,-305.786,26.184
-1.458,-0.329,-1.255,105.164,-311.951,16.846
-2.035,-0.298,-2.033,136.658,-318.604,-1.831
-2.493,-0.063,-2.957,202.087,-316.101,-33.508
-2.804,0.495,-3.975,304.626,-300.415,-76.538
-2.825,1.009,-4.000,453.064,-270.325,-120.605
-2.760,0.883,-4.000,619.141,-196.167,-150.513
-2.601,0.289,-3.133,720.703,-63.171,-162.048
-2.220,-0.060,-1.405,685.181,69.763,-162.720
-1.958,0.076,-0.322,514.648,124.268,-146.606
-1.776,0.276,0.002,285.645,99.365,-97.839
-1.816,0.226,-0.156,66.406,41.626,-19.287
-1.885,0.021,-0.403,-112.122,10.620,55.481
-1.728,-0.212,-0.445,-236.328,23.254,106.384
-1.579,-0.379,-0.374,-311.096,48.279,132.019
-1.470,-0.413,-0.327,-349.426,65.979,133.484
-1.419,-0.374,-0.297,-354.431,72.571,119.873
-1.405,-0.372,-0.256,-331.238,70.801,99.426
-1.424,-0.352,-0.278,-294.556,64.331,74.890
-1.413,-0.334,-0.323,-250.977,60.059,50.720
-1.418,-0.385,-0.308,-206.726,63.599,29.846
-1.406,-0.431,-0.218,-171.570,74.951,11.292
-1.374,-0.404,-0.159,-153.198,86.609,-5.005
-1.336,-0.331,-0.100,-144.409,96.313,-16.541
-1.304,-0.285,-0.032,-137.817,105.774,-21.790
-1.293,-0.307,0.033,-133.362,114.929,-21.729
-1.195,-0.272,0.090,-133.667,122.375,-21.790
-1.201,-0.336,0.085,-138.977,126.953,-21.912
-1.056,-0.339,-0.004,-148.315,132.324,-36.377
-0.843,-0.167,-0.176,-157.349,139.221,-52.002
-0.746,-0.052,-0.224,-145.813,152.527,-55.420
