aX,aY,aZ,gX,gY,gZ
1.014,0.635,-0.944,-204.529,-73.975,-95.337
0.913,0.544,-1.023,-222.534,-88.867,-82.092
0.883,0.408,-0.975,-228.516,-92.224,-76.599
0.887,0.292,-0.874,-229.492,-88.867,-74.890
0.934,0.222,-0.777,-230.347,-82.153,-72.571
0.944,0.141,-0.689,-235.413,-77.515,-65.369
0.918,0.042,-0.590,-244.934,-78.247,-56.213
0.896,-0.052,-0.488,-257.629,-82.214,-50.232
0.892,-0.186,-0.427,-269.897,-89.050,-51.270
0.873,-0.289,-0.389,-275.574,-104.492,-58.716
0.823,-0.386,-0.319,-278.687,-125.000,-72.937
0.867,-0.436,-0.292,-287.109,-141.724,-91.980
0.879,-0.478,-0.287,-303.833,-154.907,-104.370
0.868,-0.552,-0.342,-320.129,-167.664,-118.958
0.963,-0.620,-0.364,-323.608,-180.786,-142.944
1.029,-0.656,-0.373,-322.754,-189.026,-158.569
0.940,-0.663,-0.361,-324.646,-202.820,-165.161
0.749,-0.651,-0.307,-325.378,-218.201,-167.419
0.595,-0.642,-0.238,-324.036,-227.112,-171.997
0.526,-0.674,-0.212,-322.754,-225.220,-176.575
0.513,-0.658,-0.209,-325.439,-215.454,-173.401
0.528,-0.663,-0.202,-330.811,-202.881,-163.635
0.544,-0.726,-0.143,-333.679,-194.397,-152.893
0.533,-0.952,-0.060,-338.562,-193.298,-144.348
0.449,-1.016,-0.052,-356.384,-204.468,-136.841
0.235,-0.841,-0.069,-383.606,-224.426,-127.136
-0.033,-0.660,-0.027,-401.428,-237.244,-115.234
-0.245,-0.548,0.092,-400.024,-234.375,-101.929
-0.397,-0.527,0.306,-390.137,-213.257,-93.750
-0.352,-0.478,0.471,-381.287,-177.734,-89.355
-0.174,-0.412,0.489,-373.779,-137.756,-84.045
-0.030,-0.457,0.468,-359.009,-101.990,-73.486
0.038,-0.617,0.507,-330.017,-72.998,-62.317
0.036,-0.758,0.599,-293.518,-50.537,-62.500
-0.009,-0.744,0.645,-261.658,-35.217,-75.134
-0.086,-0.704,0.749,-235.229,-24.231,-91.003
-0.185,-0.600,0.843,-215.027,-14.526,-109.375
-0.201,-0.462,0.942,-199.890,-6.592,-124.817
-0.154,-0.378,1.015,-187.744,-3.601,-128.296
-0.051,-0.320,1.019,-181.274,-6.348,-120.728
0.044,-0.298,0.953,-186.584,-7.812,-101.685
0.064,-0.272,0.858,-198.486,-3.296,-79.590
-0.004,-0.273,0.889,-200.806,3.052,-61.707
-0.069,-0.278,0.991,-188.354,6.348,-56.274
-0.086,-0.277,1.097,-169.739,8.362,-57.922
-0.081,-0.274,1.120,-151.733,8.423,-61.218
-0.045,-0.257,1.101,-137.024,2.014,-62.622
-0.045,-0.280,1.098,-128.845,-10.742,-66.040
-0.031,-0.239,1.016,-130.615,-16.541,-65.308
-0.035,-0.127,0.912,-134.277,-26.489,-61.584
-0.082,-0.035,0.802,-131.348,-32.288,-52.734
-0.127,-0.098,0.760,-120.056,-22.339,-40.833
-0.161,-0.168,0.873,-107.544,-8.667,-35.461
-0.092,-0.142,0.958,-109.131,-0.183,-35.095
-0.028,-0.106,0.895,-121.582,2.136,-29.724
-0.004,-0.157,0.810,-128.845,-3.723,-19.348
-0.024,-0.265,0.811,-136.108,-12.817,-12.939
-0.070,-0.433,0.845,-153.198,-15.808,-14.709
-0.097,-0.395,0.813,-174.072,-15.320,-27.283
-0.118,-0.232,0.685,-180.359,-13.428,-42.603
-0.303,-0.214,0.665,-152.100,-7.874,-52.368
-0.450,-0.198,0.800,-105.591,-4.211,-67.444
-0.480,-0.070,0.865,-78.918,-1.953,-84.351
-0.530,0.165,0.793,-75.012,2.197,-89.050
-0.653,0.355,0.806,-70.129,6.531,-80.322
-0.778,0.426,0.965,-58.960,17.700,-63.660
-0.779,0.425,1.183,-51.453,39.124,-42.358
-0.567,0.351,1.333,-54.565,65.491,-19.531
-0.341,0.208,1.433,-59.021,83.984,-1.099
-0.102,0.107,1.509,-58.289,88.318,8.850
0.122,0.068,1.555,-56.396,86.975,8.179
0.303,0.075,1.539,-48.523,79.834,1.465
0.404,0.096,1.512,-34.119,64.575,-8.484
0.415,0.143,1.508,-19.226,44.434,-19.287
0.408,0.188,1.457,-8.240,24.475,-26.489
0.355,0.218,1.371,-0.793,7.202,-27.771
0.266,0.240,1.278,4.639,-4.700,-24.963
0.198,0.216,1.217,11.353,-9.338,-21.118
0.153,0.181,1.188,17.578,-10.681,-17.456
0.115,0.163,1.148,18.311,-11.597,-13.123
0.083,0.175,1.095,15.564,-11.902,-6.958
0.119,0.129,1.041,13.733,-11.536,-0.305
0.155,0.100,0.971,7.935,-10.498,4.944
-1.651,-0.725,-0.858,904.968,120.667,215.820
-1.655,-0.757,-0.877,867.371,200.012,241.028
-1.468,-0.738,-0.812,814.880,255.920,262.451
-1.258,-0.661,-0.661,757.996,273.926,281.616
-1.082,-0.543,-0.505,699.951,255.249,296.814
-0.972,-0.445,-0.372,645.447,210.876,312.256
-0.918,-0.404,-0.288,598.877,154.785,329.102
-0.883,-0.365,-0.255,556.885,100.464,343.506
-0.880,-0.323,-0.271,515.564,49.988,350.830
-0.901,-0.271,-0.350,471.375,7.446,352.356
-0.995,-0.230,-0.405,424.622,-25.452,346.802
-1.056,-0.155,-0.402,379.761,-47.668,331.421
-0.928,-0.022,-0.392,343.140,-50.232,299.500
-0.706,0.050,-0.302,319.458,-46.692,253.784
-0.428,0.107,-0.225,301.758,-42.053,200.378
-0.044,0.272,-0.209,278.931,-32.349,142.883
0.577,0.502,-0.051,234.070,-16.907,93.872
1.380,1.130,0.083,164.551,17.212,55.664
2.328,1.937,0.333,117.859,51.636,27.710
3.292,2.515,0.455,118.652,61.768,28.198
3.980,2.595,0.201,164.978,32.104,76.111
4.000,1.994,-0.319,217.773,-29.358,157.227
3.669,0.982,-0.832,249.634,-89.355,236.389
3.208,-0.044,-1.374,251.892,-119.751,278.564
2.662,-0.893,-1.799,215.698,-122.559,275.085
2.002,-1.433,-1.934,139.160,-113.708,234.131
1.450,-1.465,-1.889,49.133,-81.482,161.682
1.118,-1.118,-1.627,-20.935,-22.400,65.552
1.073,-0.605,-1.219,-67.139,41.809,-34.180
1.238,-0.057,-0.965,-110.840,95.276,-113.281
1.419,0.503,-0.812,-150.146,117.554,-157.837
1.463,0.889,-0.743,-182.922,104.675,-168.213
1.376,1.036,-0.748,-206.543,72.021,-153.442
1.206,1.007,-0.796,-219.238,34.485,-126.099
1.038,0.886,-0.860,-232.361,3.662,-97.534
0.916,0.687,-0.932,-250.366,-15.259,-73.853
0.775,0.421,-0.913,-272.034,-26.672,-56.396
0.694,0.218,-0.846,-297.119,-34.851,-51.392
0.682,0.057,-0.712,-319.580,-44.617,-54.016
0.697,-0.037,-0.580,-340.881,-56.213,-55.420
0.690,-0.056,-0.511,-360.962,-69.519,-51.086
0.741,-0.053,-0.501,-373.718,-82.703,-47.852
0.872,-0.069,-0.591,-372.314,-94.604,-47.546
0.948,-0.192,-0.668,-358.093,-104.980,-47.363
0.976,-0.441,-0.711,-339.966,-111.206,-52.856
0.978,-0.649,-0.708,-329.407,-116.272,-66.406
0.875,-0.838,-0.681,-339.600,-125.000,-81.299
0.798,-0.976,-0.533,-369.934,-144.653,-110.840
0.647,-0.972,-0.345,-413.269,-162.781,-137.634
0.500,-0.772,-0.235,-457.825,-175.293,-163.269
0.463,-0.533,-0.205,-476.257,-181.091,-183.533
0.533,-0.369,-0.194,-461.731,-180.664,-187.866
0.693,-0.371,-0.190,-427.551,-178.101,-172.363
0.751,-0.483,-0.138,-398.499,-173.462,-143.250
0.702,-0.697,-0.118,-384.521,-171.143,-113.953
0.541,-0.925,-0.104,-374.573,-178.101,-94.604
0.377,-1.088,-0.001,-366.516,-197.815,-92.651
0.251,-1.045,0.060,-377.991,-218.445,-104.065
0.099,-0.818,0.079,-407.593,-227.783,-110.657
-0.063,-0.591,0.148,-431.213,-223.206,-107.422
-0.141,-0.385,0.267,-434.998,-207.336,-101.501
-0.132,-0.331,0.409,-420.471,-187.317,-94.177
-0.065,-0.296,0.470,-399.475,-165.161,-83.191
0.025,-0.283,0.446,-383.057,-138.855,-70.313
-0.023,-0.365,0.477,-365.784,-110.046,-57.983
-0.059,-0.480,0.563,-332.947,-84.229,-55.603
-0.095,-0.519,0.643,-294.373,-62.622,-65.979
-0.130,-0.500,0.719,-264.221,-41.199,-82.886
-0.100,-0.378,0.789,-242.432,-18.250,-102.478
-0.028,-0.244,0.843,-221.252,-1.038,-117.737
0.042,-0.158,0.919,-195.496,4.028,-121.277
0.134,-0.132,0.980,-172.119,-4.272,-113.647
0.130,-0.145,1.015,-165.161,-20.813,-93.933
-0.006,-0.081,0.979,-176.392,-33.630,-69.519
-0.174,-0.035,0.934,-183.350,-35.645,-48.523
-0.310,-0.088,0.957,-167.786,-29.846,-34.363
-0.317,-0.180,1.006,-136.658,-24.353,-28.870
-0.282,-0.231,0.986,-110.168,-25.208,-31.799
-0.235,-0.260,0.920,-96.252,-25.452,-35.217
-0.194,-0.312,0.848,-91.125,-25.635,-33.203
-0.177,-0.281,0.762,-93.994,-30.396,-32.898
-0.259,-0.207,0.705,-103.943,-32.349,-32.837
-0.337,-0.196,0.719,-106.262,-30.579,-29.846
-0.388,-0.195,0.771,-102.295,-25.513,-28.687
-0.419,-0.196,0.787,-101.746,-17.395,-28.015
-0.441,-0.219,0.769,-102.966,-9.094,-26.794
-0.390,-0.289,0.738,-103.027,-4.028,-26.367
-0.289,-0.420,0.682,-108.459,-3.357,-30.396
-0.279,-0.482,0.637,-124.451,-7.324,-40.833
-0.389,-0.329,0.578,-145.752,-15.015,-55.298
-0.377,-0.207,0.409,-153.015,-15.808,-59.143
-0.547,-0.338,0.527,-128.479,2.197,-48.096
-0.617,-0.530,0.913,-95.825,28.931,-46.875
-0.379,-0.520,1.149,-96.863,50.476,-62.805
-0.116,-0.264,1.214,-123.657,63.965,-78.613
-0.061,0.009,1.323,-134.155,63.660,-87.158
-0.095,0.216,1.529,-117.676,50.659,-93.323
-0.101,0.361,1.681,-96.191,36.194,-93.506
-0.114,0.507,1.667,-82.153,24.841,-83.069
-0.182,0.458,1.601,-63.110,13.123,-62.683
-0.251,0.321,1.603,-38.635,5.554,-41.992
-0.238,0.171,1.593,-25.269,4.211,-27.161
-0.160,0.106,1.549,-25.818,7.935,-18.066
-0.093,0.072,1.497,-26.855,10.132,-11.597
-0.050,0.044,1.456,-22.522,8.301,-6.653
0.006,0.009,1.383,-14.771,4.333,-4.822
0.073,-0.007,1.285,-5.981,-0.610,-7.751
0.091,0.019,1.194,2.075,-6.042,-13.550
0.102,0.046,1.118,9.277,-11.780,-18.433
0.086,0.097,1.034,11.597,-14.099,-20.630
0.046,0.141,0.979,12.024,-12.207,-20.020
0.025,0.166,0.982,13.550,-8.972,-17.822
0.037,0.172,0.985,12.024,-5.249,-13.184
0.071,0.170,0.973,7.629,-2.563,-6.958
0.080,0.175,0.963,2.014,-1.221,-2.625
0.065,0.185,0.977,-0.977,-0.244,0.549
0.072,0.202,0.999,-1.038,0.977,1.892
0.085,0.213,0.996,2.075,1.099,2.930
0.110,0.173,0.960,8.240,-1.648,4.272
-0.627,-0.323,2.003,279.114,-101.807,133.545
-0.448,-0.419,1.993,313.904,-110.046,145.081
-0.283,-0.415,1.921,343.384,-129.822,154.297
-0.181,-0.326,1.665,376.587,-154.785,160.461
-0.236,-0.196,1.325,434.875,-177.429,165.161
-0.431,-0.046,0.912,520.752,-184.937,165.344
-0.735,0.049,0.432,623.535,-164.490,162.231
-1.005,0.018,-0.012,735.413,-116.028,162.659
-1.200,-0.145,-0.290,835.632,-40.222,171.082
-1.318,-0.382,-0.434,895.752,52.063,187.988
-1.317,-0.624,-0.433,902.405,139.343,211.792
-1.222,-0.770,-0.352,860.413,205.566,236.450
-1.028,-0.810,-0.289,794.373,239.746,257.935
-0.848,-0.740,-0.232,730.774,238.831,272.034
-0.801,-0.607,-0.225,672.363,213.562,280.884
-0.890,-0.464,-0.248,616.821,174.194,293.762
-1.008,-0.380,-0.275,565.430,130.005,316.467
